County Name,Latitude,Longitude,Radius
Butte_County,39.51234,-121.55461,2125
Calaveras_County,38.196213,-120.68092,1821
Colusa_County,39.209236,-122.00837,1490
Contra_Costa_County,38.018993,-122.13486,932
Del_Norte_County,41.754772,-124.20438,1305
El_Dorado_County,38.729652,-120.79915,2217
Fresno_County,36.731655,-119.78586,7722
Glen_County,39.5984,-122.39216,1703
Humboldt_County,40.70412,-123.91461,4627
Imperial_County,32.792854,-115.56555,5407
Inyo_County,36.80252,-118.19967,13200
Kern_County,35.373405,-119.01891,10544
Kings_County,36.327724,-119.64591,1300
Lake_County,39.04317,122.91517,1629
Lassen_County,40.41549,-120.64895,5902
LA_County,34.05224,-118.24335,5250
Madera_County,37.21808,-119.7626,2750
Marin_County,37.99868,-122.52986,673
Maripossa_County,37.484276,-119.96478,1879
Mendocino_County,39.149998,-123.207634,4544
Merced_County,37.30697,-120.48197,2498
Modoc_County,41.58984,-120.72495,5107
Mono_County,38.255787,-119.2289,3942
Monterrey_County,36.22157,-121.28984,4302
Napa_County,38.5066,-122.33052,976
Nevada_County,39.262783,-121.019455,1240
Orange_County,33.79149,-117.853096,1228
Placer_County,38.897915,-121.07431,1822
Plumas_County,39.936752,-120.94896,3307
Riverside_County,33.980534,-117.37702,9335
Sacramento_County,38.576935,-121.49495,1251
San_Benito_County,36.60567,-121.07498,1799
San_Bernardino_County,34.108322,-117.29415,20000
San_Diego_County,32.71576,-117.16382,5444
San_Fransico_County,37.77986,-122.42905,61
San_Joaquin_County,37.957542,-121.29245,1812
San_Luis_Obisbo_County,35.28262,-120.66001,1475
San_Mateo_County,37.48478,-122.22815,581
Santa_Barbara_County,34.420868,-119.69834,3545
Santa_Clara_County,37.334793,-121.888145,1667
Santa_Cruz_County,36.97414,-122.0288,577
Shasta_County,40.76377,-122.04053,4903
Sierra_County,39.560383,-120.82809,1234
Siskiyo_County,41.731583,-122.63565,8141
Sonoma_County,38.439697,-122.715645,2041
Stanislaus_County,37.55919,-120.99768,1936
Sutter_County,39.13222,-121.625145,781
Tehama_County,40.176605,-122.234146,3621
Trinity_County,40.732758,-122.94051,4117
Tulare_County,36.33012,-119.29888,6247
Tuolumne_County,37.982944,-120.38212,2895
Ventura_County,34.40175,-119.12717,2390
Yolo_County,38.677494,-121.77471,1310
Yuba_County,39.141552,-121.587685,816
Solano_County,38.26709,-121.94,1772
Alameda_County,37.80483,-122.27248,956
Alpine_County,38.69356,-119.777756,957
Amador_County,38.44585,-120.65244,785
